"","Total","Media","DesvPad","Minimo","Maximo"
"1",1377239444.54496,1377239.44454496,544588.788180867,121670.564510157,3461712.23101352
"2",Inf,Inf,NA,191917.476564272,Inf
"3",Inf,Inf,NA,261776.251291344,Inf
"4",Inf,Inf,NA,291989.677707205,Inf
"5",Inf,Inf,NA,301780.568612184,Inf
"6",Inf,Inf,NA,301780.568612184,Inf
"7",Inf,Inf,NA,301780.568612184,Inf
"8",Inf,Inf,NA,241976.840490141,Inf
"9",Inf,Inf,NA,341873.844313073,Inf
"10",Inf,Inf,NA,341873.844313073,Inf
"11",Inf,Inf,NA,341873.844313073,Inf
"12",Inf,Inf,NA,341873.844313073,Inf
"13",Inf,Inf,NA,622181.955928008,Inf
"14",Inf,Inf,NA,622181.955928008,Inf
"15",Inf,Inf,NA,752109.465353632,Inf
"16",Inf,Inf,NA,752109.465353632,Inf
"17",Inf,Inf,NA,752109.465353632,Inf
"18",Inf,Inf,NA,752109.465353632,Inf
"19",Inf,Inf,NA,752109.465353632,Inf
"20",Inf,Inf,NA,752109.465353632,Inf
"21",Inf,Inf,NA,752109.465353632,Inf
"22",Inf,Inf,NA,752109.465353632,Inf
"23",Inf,Inf,NA,961927.575805013,Inf
"24",Inf,Inf,NA,961927.575805013,Inf
"25",Inf,Inf,NA,961927.575805013,Inf
"26",Inf,Inf,NA,961981.885248347,Inf
"27",Inf,Inf,NA,961981.885248347,Inf
"28",Inf,Inf,NA,Inf,Inf
"29",NA,NA,NA,NA,NA
"30",NA,NA,NA,NA,NA
"31",NA,NA,NA,NA,NA
"32",NA,NA,NA,NA,NA
"33",NA,NA,NA,NA,NA
"34",NA,NA,NA,NA,NA
"35",NA,NA,NA,NA,NA
"36",NA,NA,NA,NA,NA
"37",NA,NA,NA,NA,NA
"38",NA,NA,NA,NA,NA
"39",NA,NA,NA,NA,NA
"40",NA,NA,NA,NA,NA
"41",NA,NA,NA,NA,NA
"42",NA,NA,NA,NA,NA
"43",NA,NA,NA,NA,NA
"44",NA,NA,NA,NA,NA
"45",NA,NA,NA,NA,NA
"46",NA,NA,NA,NA,NA
"47",NA,NA,NA,NA,NA
"48",NA,NA,NA,NA,NA
"49",NA,NA,NA,NA,NA
"50",NA,NA,NA,NA,NA
"51",NA,NA,NA,NA,NA
"52",NA,NA,NA,NA,NA
"53",NA,NA,NA,NA,NA
"54",NA,NA,NA,NA,NA
"55",NA,NA,NA,NA,NA
"56",NA,NA,NA,NA,NA
"57",NA,NA,NA,NA,NA
"58",NA,NA,NA,NA,NA
"59",NA,NA,NA,NA,NA
"60",NA,NA,NA,NA,NA
"61",NA,NA,NA,NA,NA
"62",NA,NA,NA,NA,NA
"63",NA,NA,NA,NA,NA
"64",NA,NA,NA,NA,NA
"65",NA,NA,NA,NA,NA
"66",NA,NA,NA,NA,NA
"67",NA,NA,NA,NA,NA
"68",NA,NA,NA,NA,NA
"69",NA,NA,NA,NA,NA
"70",NA,NA,NA,NA,NA
"71",NA,NA,NA,NA,NA
"72",NA,NA,NA,NA,NA
"73",NA,NA,NA,NA,NA
"74",NA,NA,NA,NA,NA
"75",NA,NA,NA,NA,NA
"76",NA,NA,NA,NA,NA
"77",NA,NA,NA,NA,NA
"78",NA,NA,NA,NA,NA
"79",NA,NA,NA,NA,NA
"80",NA,NA,NA,NA,NA
"81",NA,NA,NA,NA,NA
"82",NA,NA,NA,NA,NA
"83",NA,NA,NA,NA,NA
"84",NA,NA,NA,NA,NA
"85",NA,NA,NA,NA,NA
"86",NA,NA,NA,NA,NA
"87",NA,NA,NA,NA,NA
"88",NA,NA,NA,NA,NA
"89",NA,NA,NA,NA,NA
"90",NA,NA,NA,NA,NA
"91",NA,NA,NA,NA,NA
"92",NA,NA,NA,NA,NA
"93",NA,NA,NA,NA,NA
"94",NA,NA,NA,NA,NA
"95",NA,NA,NA,NA,NA
"96",NA,NA,NA,NA,NA
"97",NA,NA,NA,NA,NA
"98",NA,NA,NA,NA,NA
"99",NA,NA,NA,NA,NA
"100",NA,NA,NA,NA,NA
